ticker,name,is_active,exchange_code,country_code,currency_code
ABP1,American Business Products Inc,0,XNYS,USA,USD
ACI_old,Arch Coal,0,XNYS,USA,USD
ACS,AFFILIATED COMPUTER SERVICES INC,0,XNYS,USA,USD
ADSW,Advanced Disposal Services Inc,0,XNYS,USA,USD
AEE,Ameren Corp,1,XNYS,USA,USD
AEZ,AMERICAN OIL & GAS INC,0,XNYS,USA,USD
AFF1,Morgan Stanley Dean Witter Africa Inv Fund Inc,0,XNYS,USA,USD
AICOQ,Amcast Industrial Corp,0,XNYS,USA,USD
AIT,Applied Industrial Technologies,1,XNYS,USA,USD
AJX1,Standard Automotive Corp,0,XNYS,USA,USD
ALE,Allete Inc,1,XNYS,USA,USD
ALK,Alaska Air Group Inc,1,XNYS,USA,USD
ALN,American Lorain Corporation,0,XNYS,USA,USD
AMWL,American Well Corp,1,XNYS,USA,USD
AMZ,American Medical Security Group Inc,0,XNYS,USA,USD
ANAC-WS,ANAC-WS,0,XNYS,USA,USD
AON,Aon PLC,1,XNYS,USA,USD
AORT,Artivion Inc,1,XNYS,USA,USD
APD-28,APD-28,0,XNYS,USA,USD
APU,AmeriGas Partners L.P,0,XNYS,USA,USD
ARSD,Arabian American Development Company,0,XNYS,USA,USD
ASAI-W,ASAI-W,0,XNYS,USA,USD
ASAQ-UN,Atlantic Avenue Acquisition Corp,0,XNYS,USA,USD
ASAQ-WS,ASAQ-WS,0,XNYS,USA,USD
ASL,Ashanti Goldfields Co Ltd,0,XNYS,USA,USD
ATA-U,ATA-U,0,XNYS,USA,USD
AV,Aviva Plc,0,XNYS,USA,USD
AX,Axos Financial Inc,1,XNYS,USA,USD
AYI,Acuity Brands Inc,1,XNYS,USA,USD
BANB,Bachem Holding AG B,0,XNYS,USA,USD
BBDO,Banco Bradesco S/A ADR,1,XNYS,USA,USD
BBVA,Banco Bilbao Viscaya Argentaria SA ADR,1,XNYS,USA,USD
BCSF-RW,Bain Capital Specialty Finance Inc,0,XNYS,USA,USD
BCU,Borden Chemicals & Plastics Limited Partnership,0,XNYS,USA,USD
BCYRA,Big City Radio Inc,0,XNYS,USA,USD
BEP,Brookfield Renewable Partners LP,1,XNYS,USA,USD
BEZ,Baldor Electric Co,0,XNYS,USA,USD
BHI,Baker Hughes Inc,0,XNYS,USA,USD
BHV,BlackRock Virginia MBT,1,XNYS,USA,USD
BIR,Birmingham Steel Corp,0,XNYS,USA,USD
BLOX,Infoblox Inc,0,XNYS,USA,USD
BOX,Box Inc,1,XNYS,USA,USD
BP,BP PLC ADR,1,XNYS,USA,USD
BP-21E,BP-21E,0,XNYS,USA,USD
BP-27D,BP-27D,0,XNYS,USA,USD
BQR,BlackRock EcoSolutions Investment Trust,0,XNYS,USA,USD
BRD_old,BRD,0,XNYS,USA,USD
BTA,BlackRock Long-Term Municipal Advantage Trust,1,XNYS,USA,USD
BTI-22A,BTI-22A,0,XNYS,USA,USD
BX,Blackstone Group Inc,1,XNYS,USA,USD
BXSL,Blackstone Secured Lending Fund,1,XNYS,USA,USD
BYN,Banyan Acquisition Corp,0,XNYS,USA,USD
CBN,Cornerstone Bancorp Inc,0,XNYS,USA,USD
CBNR,Cubic Energy Inc,0,XNYS,USA,USD
CBZ,CBIZ Inc,1,XNYS,USA,USD
CDE,Coeur Mining Inc,1,XNYS,USA,USD
CION,Cion Investment Corp,1,XNYS,USA,USD
CKNN,CASH SYSTEMS INC,0,XNYS,USA,USD
CLA,Colonnade Acquisition Corp,0,XNYS,USA,USD
CMKC,CMKC,0,XNYS,USA,USD
CNA,CNA Financial Corporation,1,XNYS,USA,USD
CNDA-WT,Concord Acquisition Corp II,0,XNYS,USA,USD
COOK,Traeger Inc,1,XNYS,USA,USD
COP,ConocoPhillips,1,XNYS,USA,USD
CRC,California Resources Corp,1,XNYS,USA,USD
CSKEQ,Chesapeake Corp,0,XNYS,USA,USD
JL,J&L Specialty Steel Inc,0,XNYS,USA,USD
JWA,John Wiley & Sons Inc,0,XNYS,USA,USD
K-WI,Kellogg Company,0,XNYS,USA,USD
KBK,Kbk Capital Corp,0,XNYS,USA,USD
KCAC-W-A,KCAC-W-A,0,XNYS,USA,USD
KCAC-WS,KCAC-WS,0,XNYS,USA,USD
KCGI,Kensington Capital Acquisition Corp V,0,XNYS,USA,USD
KER,KER,0,XNYS,USA,USD
KGC,Kinross Gold Corporation,1,XNYS,USA,USD
KIDEQ,4 Kids Entertainment Inc,0,XNYS,USA,USD
KING,King Digital Entertainment PLC,0,XNYS,USA,USD
KTN,Credit Enhanced Corts Trust For Aon Capital A GIC,1,XNYS,USA,USD
KWN,Kennedy-Wilson Holdings Inc,0,XNYS,USA,USD
LEVI,Levi Strauss & Co Class A,1,XNYS,USA,USD
LGV-WS,LGV-WS,0,XNYS,USA,USD
LH,Laboratory Corporation of America Holdings,1,XNYS,USA,USD
LI_DELISTED,Laidlaw International Inc,0,XNYS,USA,USD
LMS,Lamson & Sessions Co,0,XNYS,USA,USD
LQI1,La Quinta Properties Inc,0,XNYS,USA,USD
LWN,Loewen Group Inc,0,XNYS,USA,USD
LXFR,Luxfer Holdings PLC,1,XNYS,USA,USD
LXFT,Luxoft Holding Inc,0,XNYS,USA,USD
MAIN,Main Street Capital Corporation,1,XNYS,USA,USD
MDS,Midas Inc,0,XNYS,USA,USD
MDT-21,MDT-21,0,XNYS,USA,USD
MEC1,Midamerican Energy Holdings Co,0,XNYS,USA,USD
MFG,Mizuho Financial Group Inc.,1,XNYS,USA,USD
MGM1,Metro-Goldwyn-Mayer Inc,0,XNYS,USA,USD
MGN,Mines Management Inc,0,XNYS,USA,USD
MGP,MGM Growth Properties LLC,0,XNYS,USA,USD
MGR,Affiliated Managers Group Inc,1,XNYS,USA,USD
MGRD,"Affiliated Managers Group, Inc.",1,XNYS,USA,USD
MII,Morton International Inc,0,XNYS,USA,USD
MLB,Mitchells & Butlers Plc,0,XNYS,USA,USD
MMI1,Motorola Mobility Holdings Inc,0,XNYS,USA,USD
MSB,Mesabi Trust,1,XNYS,USA,USD
MSC,Studio City International Holdings Ltd,1,XNYS,USA,USD
MSTX,Defiance Daily Target 1.75x Long MSTR ETF,0,XNYS,USA,USD
MTLQQ,Motors Liquidation Company,0,XNYS,USA,USD
MUF,Muniholdings Florida Insured Fund Ii,0,XNYS,USA,USD
MUSA1,Metals Usa Holdings Corp,0,XNYS,USA,USD
MX,MagnaChip Semiconductor,1,XNYS,USA,USD
NAPA,Duckhorn Portfolio Inc,1,XNYS,USA,USD
NDC,Ndchealth Corp,0,XNYS,USA,USD
NE,Noble Corporation plc,1,XNYS,USA,USD
NEB,New England Business Service Inc,0,XNYS,USA,USD
NGL,NGL Energy Partners LP,1,XNYS,USA,USD
NST,Nstar,0,XNYS,USA,USD
NSTC-U,NSTC-U,0,XNYS,USA,USD
NTEST-G,NTEST-G,0,XNYS,USA,USD
NUN,Nuveen New York Quality Income Municipal Fund Inc,0,XNYS,USA,USD
NXQ,Nuveen Select Tax-Free Income Portfolio 2,0,XNYS,USA,USD
NYT,New York Times Company,1,XNYS,USA,USD
OACB,Oaktree Acquisition II Corp,0,XNYS,USA,USD
OAT,Quaker Oats Co,0,XNYS,USA,USD
OHI,Omega Healthcare Investors Inc,1,XNYS,USA,USD
ONON,On Holding Ltd,1,XNYS,USA,USD
PDAC,Peridot Acquisition Corp,0,XNYS,USA,USD
PDO,Pimco Dynamic Income Opportunities Fund,1,XNYS,USA,USD
PDOT-U,PDOT-U,0,XNYS,USA,USD
PIKE,Pike Electric Corp,0,XNYS,USA,USD
PNY,Piedmont Natural Gas Company Inc,0,XNYS,USA,USD
POWR,PowerSecure International Inc,0,XNYS,USA,USD
PQG,Ecovyst Inc.,0,XNYS,USA,USD
CTEST-N,CTEST-N,0,XNYS,USA,USD
CTEST-U,CTEST-U,0,XNYS,USA,USD
CTEST-WD,CTEST-WD,0,XNYS,USA,USD
CTV,Innovid Corp.,1,XNYS,USA,USD
CVC,Cablevision Systems Corp,0,XNYS,USA,USD
CWN,Crown American Realty Trust,0,XNYS,USA,USD
CX,Cemex SAB de CV ADR,1,XNYS,USA,USD
CYH,Community Health Systems Inc,1,XNYS,USA,USD
CZC,CZC,0,XNYS,USA,USD
DDSU,DDS TECHNOLOGIES USA INC,0,XNYS,USA,USD
DHL,DHL Group,0,XNYS,USA,USD
DKTCL,DKTCL,0,XNYS,USA,USD
DOL1,Dole Food Company Inc,0,XNYS,USA,USD
DRV1,Dravo Corp,0,XNYS,USA,USD
DS1,Dallas Semiconductor Corp,0,XNYS,USA,USD
DTM-W,DTM-W,0,XNYS,USA,USD
DVM,Cohen & Steers Dividend Majors Fund Inc,0,XNYS,USA,USD
DWIN-WS,DWIN-WS,0,XNYS,USA,USD
DWL,Dewolfe Companies Inc,0,XNYS,USA,USD
DXBCL,DXBCL,0,XNYS,USA,USD
EAAS,EAAS,0,XNYS,USA,USD
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1,XNYS,USA,USD
ECH1,Echlin Inc,0,XNYS,USA,USD
EEQ,Enbridge Energy Management L.L.C,0,XNYS,USA,USD
EMD1,Western Asset Emerging Markets Income Fund Inc,0,XNYS,USA,USD
EMPW-U,EMPW-U,0,XNYS,USA,USD
ENH,Endurance Specialty Holdings Ltd,0,XNYS,USA,USD
EOCW-U,EOCW-U,0,XNYS,USA,USD
EPR-P-E,EPR-P-E,1,XNYS,USA,USD
EPWR-WS,EPWR-WS,0,XNYS,USA,USD
ESAB,ESAB Corp,1,XNYS,USA,USD
ESF,Espirito Santo Financial Group Sa,0,XNYS,USA,USD
EVTC,Evertec Inc,1,XNYS,USA,USD
EXTO,Almacenes Ãxito S.A.,1,XNYS,USA,USD
FAH,First American Health Concepts Inc,0,XNYS,USA,USD
FAII-U,FAII-U,0,XNYS,USA,USD
FBF,Fleetboston Financial Corp,0,XNYS,USA,USD
FCAU,Fiat Chrysler Automobiles N.V,0,XNYS,USA,USD
FCAX,Fortress Capital Acquisition Corp,0,XNYS,USA,USD
FFP.A,FFP.A,0,XNYS,USA,USD
FMX-50,FMX-50,0,XNYS,USA,USD
FNFV,Fidelity National Financial Inc,0,XNYS,USA,USD
FRXB-WS,FRXB-WS,0,XNYS,USA,USD
FSKR,FS KKR Capital Corp. II,0,XNYS,USA,USD
FSM,Fortuna Silver Mines Inc,1,XNYS,USA,USD
FST,FAST Acquisition Corp,0,XNYS,USA,USD
FST-UN,FAST Acquisition Corp,0,XNYS,USA,USD
FVB,First Virginia Banks Inc,0,XNYS,USA,USD
GEFB,"Greif, Inc.",1,XNYS,USA,USD
GEGQQ,GEGQQ,0,XNYS,USA,USD
GGT,Gabelli MultiMedia Mutual Fund,1,XNYS,USA,USD
