ticker,name,is_active,exchange_code,country_code,currency_code
KLXI,KLX Inc,0,XNAS,USA,USD
KPTI,Karyopharm Therapeutics Inc,1,XNAS,USA,USD
KROL,Kroll Inc,0,XNAS,USA,USD
KTOS,Kratos Defense & Security Solutions,1,XNAS,USA,USD
KVACW,Keen Vision Acquisition Corporation Warrant,1,XNAS,USA,USD
KVIKA,Investment AB Kinnevik (publ),0,XNAS,USA,USD
KZR,Kezar Life Sciences Inc,1,XNAS,USA,USD
LCAHU,Landcadia Holdings II Inc,0,XNAS,USA,USD
LCTO,El Sitio Inc,0,XNAS,USA,USD
LEDS,SemiLEDS Corporation,1,XNAS,USA,USD
LEGH,Legacy Housing Corp,1,XNAS,USA,USD
LEPI,Leading Edge Packaging Inc,0,XNAS,USA,USD
LFAC,LF Capital Acquisition II Corp,0,XNAS,USA,USD
LFACW,LF Capital Acquisition Corp. II Warrants,0,XNAS,USA,USD
LFIN1,Local Financial Corp,0,XNAS,USA,USD
LGAM,Lexington Global Asset Managers Inc,0,XNAS,USA,USD
LIF,"Life360, Inc. Common Stock",1,XNAS,USA,USD
LIN,Linde plc Ordinary Shares,1,XNAS,USA,USD
LIXT,Lixte Biotechnology Holdings Inc,1,XNAS,USA,USD
LJPC1,La Jolla Pharmaceutical Co,0,XNAS,USA,USD
LMACU,Liberty Media Acquisition Corp,0,XNAS,USA,USD
LMNR,Limoneira Co,1,XNAS,USA,USD
LMST,Limestone Bancorp Inc,0,XNAS,USA,USD
LOAX,Log On America Inc,0,XNAS,USA,USD
LQNT,Liquent Inc,0,XNAS,USA,USD
LSPRW,Larkspur Health Acquisition Corp. Warrants,0,XNAS,USA,USD
LTCR,Leisure Time Casinos & Resorts Inc,0,XNAS,USA,USD
LUFK,Lufkin Industries Inc,0,XNAS,USA,USD
LWSN,Lawson Software Inc,0,XNAS,USA,USD
MAAQ,Mana Capital Acquisition Corp,0,XNAS,USA,USD
MACAW,Moringa Acquisition Corp,0,XNAS,USA,USD
MCAER,Mountain Crest Acquisition Corp. III Right,0,XNAS,USA,USD
MEDS,Trxade Group Inc,1,XNAS,USA,USD
MEDSE,Medstone International Inc,0,XNAS,USA,USD
MFSF,MutualFirst Financial Inc,0,XNAS,USA,USD
MIAM,Mid Am Inc,0,XNAS,USA,USD
MIK,The Michaels Companies Inc,0,XNAS,USA,USD
MILT,Miltope Group Inc,0,XNAS,USA,USD
MKFCF,Mackenzie Financial Corp,0,XNAS,USA,USD
MKPL,SmartCard Marketing Systems Inc,0,XNAS,USA,USD
MNST,Monster Beverage Corp,1,XNAS,USA,USD
MOBQ,Mobiquity Technologies Inc,1,XNAS,USA,USD
MODM,Modern Medical Modalities Corp,0,XNAS,USA,USD
MORP,Moore Products Co,0,XNAS,USA,USD
MRCC,Monroe Capital Corp,1,XNAS,USA,USD
MREO,Mereo BioPharma Group PLC ADR,1,XNAS,USA,USD
MRXLY,Metorex Ltd,0,XNAS,USA,USD
MSSAW,Metal Sky Star Acquisition Corporation Warrant,1,XNAS,USA,USD
MUDSU,Mudrick Capital Acquisition Corporation II,0,XNAS,USA,USD
MYCO,Mycogen Corp,0,XNAS,USA,USD
MYGN,Myriad Genetics Inc,1,XNAS,USA,USD
MYTN,Myturn Com Inc,0,XNAS,USA,USD
NCBM,National City Bancorporation,0,XNAS,USA,USD
NCNCW,noco-noco Inc. Warrant,1,XNAS,USA,USD
NELV,Nelvana Ltd,0,XNAS,USA,USD
NFTTU,NFTTU,0,XNAS,USA,USD
NRACW,Noble Rock Acquisition Corporation,0,XNAS,USA,USD
NSLB,Ns&L Bancorp Inc,0,XNAS,USA,USD
NSTG,NanoString Technologies Inc,0,XNAS,USA,USD
NTGX,Net Genesis Corp,0,XNAS,USA,USD
NTRO1,Netro Corp,0,XNAS,USA,USD
AACG,ATA Creativity Global,1,XNAS,USA,USD
ABBK,Abington Bancorp Inc,0,XNAS,USA,USD
ACAM,Acamar Partners Acquisition Corp,0,XNAS,USA,USD
ACHL,Achilles Therapeutics PLC ADR,1,XNAS,USA,USD
ACLO,Accelio Corp,0,XNAS,USA,USD
ACNT,Synalloy Corporation,1,XNAS,USA,USD
ACTT1,Act Teleconferencing Inc,0,XNAS,USA,USD
ADERW,26 Capital Acquisition Corp,0,XNAS,USA,USD
ADLTQ,Advanced Lighting Technologies Inc,0,XNAS,USA,USD
ADMA,ADMA Biologics Inc,1,XNAS,USA,USD
ADP,Automatic Data Processing Inc,1,XNAS,USA,USD
ADSEW,ADS-TEC ENERGY PLC Warrant,1,XNAS,USA,USD
AEHA,Aesther Healthcare Acquisition Corp,0,XNAS,USA,USD
AEHL,Antelope Enterprise Holdings Ltd,1,XNAS,USA,USD
AFAQU,AF Acquisition Corp Unit,0,XNAS,USA,USD
AFFI,Affinity Technology Group Inc,0,XNAS,USA,USD
AFFX,Affymetrix Inc,0,XNAS,USA,USD
AFINP,American Finance Trust Inc,0,XNAS,USA,USD
AFOP,Alliance Fiber Optic Products Inc,0,XNAS,USA,USD
AGCC,Anchor Glass Container Corp,0,XNAS,USA,USD
AGEN,Agenus Inc,1,XNAS,USA,USD
AGNCB,AGNC Investment Corp,0,XNAS,USA,USD
AIBAF,AIB Acquisition Corporation,0,XNAS,USA,USD
AIEV,"Thunder Power Holdings, Inc.",1,XNAS,USA,USD
AIRG,Airgain Inc,1,XNAS,USA,USD
AKLM,Acclaim Entertainment Inc,0,XNAS,USA,USD
ALLP,Alliance Pharmaceutical Corp,0,XNAS,USA,USD
ALTPU,ALTPU,0,XNAS,USA,USD
ALVO,Alvotech,1,XNAS,USA,USD
