date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,code_name,industry,industryClassification
2024-01-02,sh.603003,13.8100,14.1500,12.9800,13.0000,13.8100,67525997,910086998.6200,3,16.779000,1,-5.865300,88.231570,1.425541,0.653469,75.773598,0,*ST龙宇,有色金属,申万一级行业
2024-01-03,sh.603003,12.9600,13.4700,12.3100,13.3000,13.0000,58914844,759205074.9600,3,14.639300,1,2.307700,90.267684,1.458438,0.668549,77.522220,0,*ST龙宇,有色金属,申万一级行业
2024-01-04,sh.603003,13.0000,13.1800,12.5500,12.7100,13.3000,37622925,482494310.3100,3,9.348600,1,-4.436100,86.263328,1.393740,0.638892,74.083264,0,*ST龙宇,有色金属,申万一级行业
2024-01-05,sh.603003,12.5800,12.6500,11.4400,11.4500,12.7100,45013300,538527435.0400,3,11.185000,1,-9.913500,77.711652,1.255572,0.575556,66.739054,0,*ST龙宇,有色金属,申万一级行业
2024-01-08,sh.603003,11.4500,11.4500,10.6300,10.6400,11.4500,35274925,384494789.9900,3,8.765200,1,-7.074200,72.214147,1.166750,0.534839,62.017776,0,*ST龙宇,有色金属,申万一级行业
2024-01-09,sh.603003,10.6000,10.8600,10.5400,10.7600,10.6400,22010077,235686704.1500,3,5.469100,1,1.127800,73.028592,1.179909,0.540872,62.717225,0,*ST龙宇,有色金属,申万一级行业
2024-01-10,sh.603003,10.6500,10.7200,10.2100,10.2200,10.7600,21877245,227307478.6000,3,5.436100,1,-5.018600,69.363588,1.120694,0.513727,59.569706,0,*ST龙宇,有色金属,申万一级行业
2024-01-11,sh.603003,10.2000,10.6400,10.2000,10.6400,10.2200,19354076,202832080.4400,3,4.809100,1,4.109600,72.214147,1.166750,0.534839,62.017776,0,*ST龙宇,有色金属,申万一级行业
2024-01-12,sh.603003,10.6000,10.7000,10.2600,10.2900,10.6400,16221600,168766999.0000,3,4.030800,1,-3.289500,69.838682,1.128370,0.517246,59.977718,0,*ST龙宇,有色金属,申万一级行业
2024-01-15,sh.603003,10.2500,10.3500,10.1900,10.2300,10.2900,11131576,114202863.0000,3,2.766000,1,-0.583100,69.431459,1.121791,0.514230,59.627993,0,*ST龙宇,有色金属,申万一级行业
2024-01-16,sh.603003,10.1500,10.1900,9.8000,9.9900,10.2300,17867000,177330642.0000,3,4.439600,1,-2.346000,67.802568,1.095473,0.502166,58.229096,0,*ST龙宇,有色金属,申万一级行业
2024-01-17,sh.603003,9.9400,10.1000,9.9300,9.9300,9.9900,14799601,147924450.9700,3,3.677400,1,-0.600600,67.395346,1.088894,0.499150,57.879372,0,*ST龙宇,有色金属,申万一级行业
2024-01-18,sh.603003,9.8000,10.6600,9.7600,10.4900,9.9300,36508659,375835813.3700,3,9.071700,1,5.639500,71.196090,1.150302,0.527299,61.143465,0,*ST龙宇,有色金属,申万一级行业
2024-01-19,sh.603003,10.4600,10.4900,10.1500,10.1500,10.4900,18697500,192435965.0000,3,4.646000,1,-3.241200,68.888495,1.113018,0.510209,59.161694,0,*ST龙宇,有色金属,申万一级行业
2024-01-22,sh.603003,10.1500,10.2100,9.3900,9.4800,10.1500,17186100,168055102.0000,3,4.270400,1,-6.601000,64.341176,1.039548,0.476530,55.256439,0,*ST龙宇,有色金属,申万一级行业
2024-01-23,sh.603003,9.4500,9.7800,9.3600,9.5900,9.4800,14316811,136676101.3900,3,3.557500,1,1.160300,65.087751,1.051610,0.482059,55.897601,0,*ST龙宇,有色金属,申万一级行业
2024-01-24,sh.603003,9.6700,10.3000,9.6400,9.9100,9.5900,20462976,202936064.1600,3,5.084700,1,3.336800,67.259605,1.086701,0.498145,57.762797,0,*ST龙宇,有色金属,申万一级行业
2024-01-25,sh.603003,9.9600,10.5100,9.8000,10.4800,9.9100,30051101,307708032.4500,3,7.467200,1,5.751800,71.128220,1.149205,0.526797,61.085178,0,*ST龙宇,有色金属,申万一级行业
2024-01-26,sh.603003,10.4200,10.7900,10.3700,10.6500,10.4800,29603610,313135337.3000,3,7.356000,1,1.622100,72.282017,1.167847,0.535342,62.076063,0,*ST龙宇,有色金属,申万一级行业
2024-01-29,sh.603003,10.6200,10.6200,9.9600,9.9700,10.6500,20098400,204986655.0000,3,4.994100,1,-6.385000,67.666828,1.093280,0.501161,58.112521,0,*ST龙宇,有色金属,申万一级行业
2024-01-30,sh.603003,9.9500,9.9600,9.4500,9.4500,9.9700,14776200,142934946.0000,3,3.671600,1,-5.215600,64.137565,1.036258,0.475022,55.081577,0,*ST龙宇,有色金属,申万一级行业
2024-01-31,sh.603003,9.5000,9.6000,8.9000,8.9100,9.4500,14267301,130985758.2000,3,3.545200,1,-5.714300,60.472561,0.977044,0.447878,51.934059,0,*ST龙宇,有色金属,申万一级行业
2024-02-01,sh.603003,8.9100,9.0400,8.6200,8.8100,8.9100,12182800,107972631.9900,3,3.027200,1,-1.122300,59.793857,0.966078,0.442851,51.351185,0,*ST龙宇,有色金属,申万一级行业
2024-02-02,sh.603003,8.8400,9.0200,8.0600,8.4000,8.8100,13991500,119549534.0000,3,3.476600,1,-4.653800,57.011169,0.921118,0.422242,48.961402,0,*ST龙宇,有色金属,申万一级行业
2024-02-05,sh.603003,8.2500,8.2800,7.5600,7.5600,8.4000,12912600,98801970.0000,3,3.208500,1,-10.000000,51.310052,0.829007,0.380018,44.065262,0,*ST龙宇,有色金属,申万一级行业
2024-02-06,sh.603003,7.0600,7.5500,6.8000,7.2500,7.5600,24870601,174976560.2500,3,6.179900,1,-4.100500,49.206068,0.795013,0.364435,42.258353,0,*ST龙宇,有色金属,申万一级行业
2024-02-07,sh.603003,7.3000,7.3500,6.7200,6.9100,7.2500,19267757,136403010.5800,3,4.787700,1,-4.689700,46.898473,0.757730,0.347344,40.276582,0,*ST龙宇,有色金属,申万一级行业
2024-02-08,sh.603003,6.9800,7.5000,6.8700,7.4900,6.9100,17923563,129653603.4700,3,4.453700,1,8.393600,50.834959,0.821331,0.376499,43.657250,0,*ST龙宇,有色金属,申万一级行业
2024-02-19,sh.603003,7.7200,8.0800,7.6900,8.0200,7.4900,20274063,160210722.9300,3,5.037700,1,7.076100,54.432092,0.879449,0.403140,46.746482,0,*ST龙宇,有色金属,申万一级行业
2024-02-20,sh.603003,8.0200,8.2800,7.8200,8.2800,8.0200,16924668,137952798.6800,3,4.205500,1,3.241900,56.196723,0.907960,0.416210,48.261953,0,*ST龙宇,有色金属,申万一级行业
2024-02-21,sh.603003,8.1400,8.6400,8.0800,8.3300,8.2800,17680800,148688447.9900,3,4.393400,1,0.603900,56.536076,0.913443,0.418723,48.553390,0,*ST龙宇,有色金属,申万一级行业
2024-02-22,sh.603003,8.4200,8.7300,8.3800,8.7100,8.3300,18359001,157980932.6600,3,4.561900,1,4.561800,59.115152,0.955112,0.437824,50.768311,0,*ST龙宇,有色金属,申万一级行业
