code,date,open,high,low,close
sh.603048,2021-11-16,20.8400,25.0100,20.8400,25.0100
sh.603048,2021-11-17,27.5100,27.5100,27.5100,27.5100
sh.603048,2021-11-18,30.2600,30.2600,30.2600,30.2600
sh.603048,2021-11-19,31.8900,33.2900,31.2700,33.2900
sh.603048,2021-11-22,34.8000,36.0000,31.9700,32.2100
sh.603048,2021-11-23,29.8000,32.2700,29.6100,30.5200
sh.603048,2021-11-24,30.0900,33.5700,30.0700,33.5700
sh.603048,2021-11-25,34.9900,36.7200,32.0200,32.0500
sh.603048,2021-11-26,30.0000,31.8800,29.9900,31.4100
sh.603048,2021-11-29,30.7000,32.3300,30.6100,31.6700
sh.603048,2021-11-30,31.6600,32.3100,30.7100,31.1200
sh.603048,2021-12-01,31.0000,33.5700,30.5100,32.2800
sh.603048,2021-12-02,31.7400,31.9900,30.3100,30.8600
sh.603048,2021-12-03,30.3900,30.4800,28.4600,28.8100
sh.603048,2021-12-06,28.3300,28.3700,27.3000,27.7600
sh.603048,2021-12-07,27.6800,28.8000,27.3500,28.1000
sh.603048,2021-12-08,27.8600,30.9100,27.7600,29.5800
sh.603048,2021-12-09,28.8000,30.7300,28.7600,29.3600
sh.603048,2021-12-10,29.0000,32.3000,29.0000,32.3000
sh.603048,2021-12-13,32.0000,32.0000,30.2800,31.1200
sh.603048,2021-12-14,30.5100,34.0800,30.0700,32.3000
sh.603048,2021-12-15,32.3000,35.5000,31.5400,33.5700
sh.603048,2021-12-16,32.0000,32.8400,31.1000,31.6300
sh.603048,2021-12-17,31.4000,32.3500,30.1000,30.1400
sh.603048,2021-12-20,29.7400,31.5000,29.2000,30.7100
sh.603048,2021-12-21,30.1700,33.7800,29.6000,33.7800
sh.603048,2021-12-22,35.1300,36.1400,32.4500,32.4500
sh.603048,2021-12-23,32.4500,35.0000,31.9700,32.7700
sh.603048,2021-12-24,32.1200,32.4300,30.2000,30.3500
sh.603048,2021-12-27,30.0000,30.5800,29.5000,30.2600
sh.603048,2021-12-28,30.5000,30.6500,29.5400,29.5900
sh.603048,2021-12-29,29.5900,30.1000,28.7100,29.7000
sh.603048,2021-12-30,29.3500,29.9500,29.3500,29.3900
sh.603048,2021-12-31,29.3900,29.8300,29.0000,29.0000
sh.603048,2022-01-04,28.9000,29.1900,28.3500,28.3900
sh.603048,2022-01-05,28.1000,28.3400,27.3500,27.7500
sh.603048,2022-01-06,27.4900,28.3800,27.4100,28.2200
sh.603048,2022-01-07,28.2700,28.4800,27.3700,27.4100
sh.603048,2022-01-10,27.3000,27.7500,26.5500,27.6800
sh.603048,2022-01-11,27.5600,28.3600,27.3500,27.6900
sh.603048,2022-01-12,28.0400,28.3700,27.8000,28.1400
sh.603048,2022-01-13,27.9200,28.0000,27.0100,27.0300
sh.603048,2022-01-14,26.8100,27.3700,26.2700,26.3200
sh.603048,2022-01-17,26.3200,27.0000,25.8800,26.4000
sh.603048,2022-01-18,26.4100,26.5200,25.2500,25.3600
sh.603048,2022-01-19,25.2200,25.5300,25.1000,25.4000
sh.603048,2022-01-20,25.4000,25.4400,24.0000,24.1600
sh.603048,2022-01-21,24.1300,24.3600,23.2200,23.4000
sh.603048,2022-01-24,23.2100,24.5400,23.0200,23.5300
sh.603048,2022-01-25,23.2000,23.4900,22.2300,22.2500
sh.603048,2022-01-26,22.2700,22.7800,22.0200,22.4100
sh.603048,2022-01-27,22.3400,22.5800,21.7800,21.9000
sh.603048,2022-01-28,21.9100,22.5000,21.7500,22.4200
sh.603048,2022-02-07,23.0000,23.4200,22.6600,22.7600
sh.603048,2022-02-08,22.8500,23.3300,22.7000,23.2700
sh.603048,2022-02-09,23.1700,23.3500,22.9500,23.3000
sh.603048,2022-02-10,23.3300,23.3300,22.7800,23.0100
sh.603048,2022-02-11,22.9800,23.0400,22.2000,22.2200
sh.603048,2022-02-14,22.1000,22.6500,22.0000,22.5700
sh.603048,2022-02-15,22.8000,24.8300,22.8000,24.8300
sh.603048,2022-02-16,26.9000,26.9000,25.1300,26.2000
sh.603048,2022-02-17,25.2200,25.8400,24.4900,24.5700
sh.603048,2022-02-18,24.1300,25.1000,24.1300,24.3800
sh.603048,2022-02-21,24.5000,25.5500,24.4700,25.0500
sh.603048,2022-02-22,24.6900,24.9900,24.2400,24.5400
sh.603048,2022-02-23,24.4400,24.8900,24.3300,24.7200
sh.603048,2022-02-24,24.5600,25.0400,23.4600,23.9000
sh.603048,2022-02-25,23.8800,24.4900,23.8500,24.1300
sh.603048,2022-02-28,24.1700,24.4300,23.3400,23.9500
sh.603048,2022-03-01,24.1300,25.0100,24.1000,24.4100
sh.603048,2022-03-02,24.1200,24.9700,24.1200,24.5200
sh.603048,2022-03-03,24.6100,24.7200,23.9900,24.0400
sh.603048,2022-03-04,24.0600,24.1700,23.3500,23.5100
sh.603048,2022-03-07,23.5100,23.8000,23.0000,23.1600
sh.603048,2022-03-08,23.2300,23.3900,21.8500,21.9100
sh.603048,2022-03-09,22.1000,22.2700,20.6100,21.4400
sh.603048,2022-03-10,21.8900,22.1100,21.6100,21.7200
sh.603048,2022-03-11,21.5900,21.7000,20.9200,21.6600
sh.603048,2022-03-14,21.4000,21.6000,20.8000,20.8100
sh.603048,2022-03-15,20.8000,20.8500,19.5000,19.5900
sh.603048,2022-03-16,19.9600,20.1400,19.1200,19.9900
sh.603048,2022-03-17,20.2000,20.7500,20.1600,20.3800
sh.603048,2022-03-18,20.3300,20.6800,20.1500,20.6100
sh.603048,2022-03-21,20.8500,21.6000,20.8500,21.2900
sh.603048,2022-03-22,21.1900,22.6000,20.8400,21.3900
sh.603048,2022-03-23,21.3900,21.8000,20.9900,21.0900
sh.603048,2022-03-24,20.7300,21.0800,20.5500,20.9300
sh.603048,2022-03-25,20.8000,21.4800,20.8000,21.0700
sh.603048,2022-03-28,21.0400,21.0600,20.3000,20.5400
sh.603048,2022-03-29,20.5400,20.7500,20.0000,20.2500
sh.603048,2022-03-30,20.3000,20.6400,20.2500,20.6300
sh.603048,2022-03-31,20.6300,20.7500,20.2700,20.3300
sh.603048,2022-04-01,20.6000,20.6100,19.9200,20.0600
sh.603048,2022-04-06,20.0900,20.4400,20.0000,20.1700
sh.603048,2022-04-07,20.0200,20.0900,19.6600,19.6900
sh.603048,2022-04-08,19.6500,19.8000,19.0200,19.2200
sh.603048,2022-04-11,19.1000,19.2900,18.3700,18.5900
sh.603048,2022-04-12,18.5600,18.7600,18.2100,18.7600
sh.603048,2022-04-13,18.7100,18.8800,18.2600,18.2600
sh.603048,2022-04-14,18.2500,18.5800,18.2500,18.3200
sh.603048,2022-04-15,18.2500,19.6600,17.5800,18.6100
sh.603048,2022-04-18,18.5800,20.4700,18.5800,20.4700
sh.603048,2022-04-19,20.5500,21.4700,19.8100,19.8700
sh.603048,2022-04-20,19.6100,20.7000,19.4500,20.1500
sh.603048,2022-04-21,19.8100,20.2100,19.1800,19.2200
sh.603048,2022-04-22,19.3400,21.1400,19.2400,21.1400
sh.603048,2022-04-25,21.8200,21.9000,20.1300,20.3500
